"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","NA","DW"
"0","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb27s_8757b7dea6514ca0bbc86b82c2c6a05e","2022","Kwartal","4","801","80101","069","0","200.00","132.00","132.00"
"1","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb27s_8757b7dea6514ca0bbc86b82c2c6a05e","2022","Kwartal","4","801","80101","075","0","15000.00","17544.56","17094.56"
"2","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb27s_8757b7dea6514ca0bbc86b82c2c6a05e","2022","Kwartal","4","801","80101","092","0","2000.00","2038.59","2038.59"
"3","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb27s_8757b7dea6514ca0bbc86b82c2c6a05e","2022","Kwartal","4","801","80101","097","0","600.00","516.76","516.76"
"4","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80101","069","0","200.00","199.00","199.00"
"5","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80101","075","0","107000.00","111943.50","111943.50"
"6","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80101","083","0","4000.00","",""
"7","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80101","092","0","9000.00","9181.19","9181.19"
"8","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80101","097","0","1500.00","1871.17","1871.17"
"9","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80148","083","0","563000.00","546865.50","546865.50"
"10","Szkoła Podstawowa Nr 9","JB","001070630     ","10","02","01","1","0","Rb27s_1e6cafca32e34494b039a410c6f31580","2022","Kwartal","4","801","80148","097","0","7000.00","7225.00","7225.00"
"11","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","069","0","200.00","122.00","122.00"
"12","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","075","0","9000.00","7232.00","7232.00"
"13","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","083","0","","",""
"14","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","092","0","4100.00","3806.95","3806.95"
"15","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","095","0","13934.00","13933.44","13933.44"
"16","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80101","097","0","1500.00","952.95","952.95"
"17","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80148","083","0","225000.00","216289.10","216177.10"
"18","Szkoła Podstawowa Nr 2","JB","368245067     ","10","02","01","1","0","Rb27s_da9957803edc453783db6fb51a4bf969","2022","Kwartal","4","801","80148","097","0","4000.00","1308.00","1308.00"
"19","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80101","069","0","500.00","171.00","171.00"
"20","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80101","075","0","36100.00","18549.03","18549.03"
"21","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80101","092","0","3900.00","4004.29","4004.29"
"22","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80101","095","0","33288.00","33288.00","33288.00"
"23","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80101","097","0","3500.00","32127.45","32127.45"
"24","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80148","083","0","474000.00","435812.50","435812.50"
"25","Szkoła Podstawowa Nr 1","JB","000903334     ","10","02","01","1","0","Rb27s_2bc2f536a1ec46368ab803b3842d7fe6","2022","Kwartal","4","801","80148","097","0","12000.00","10734.00","10734.00"
"26","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80101","069","0","300.00","189.00","189.00"
"27","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80101","075","0","10000.00","11877.75","10197.75"
"28","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80101","092","0","3000.00","4193.46","4112.83"
"29","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80101","097","0","700.00","",""
"30","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80148","083","0","220000.00","219111.00","216854.00"
"31","Szkoła Podstawowa Nr 6","JB","000903280     ","10","02","01","1","0","Rb27s_0efa43fa8615474b98c0bf64bae0dc74","2022","Kwartal","4","801","80148","097","0","5000.00","2126.50","2126.50"
"32","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb27s_f1fb922509a9442182b94336b794a769","2022","Kwartal","4","801","80101","069","0","1500.00","143.00","143.00"
"33","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb27s_f1fb922509a9442182b94336b794a769","2022","Kwartal","4","801","80101","075","0","30000.00","10097.55","10097.55"
"34","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb27s_f1fb922509a9442182b94336b794a769","2022","Kwartal","4","801","80101","092","0","2000.00","2269.35","2269.35"
"35","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb27s_f1fb922509a9442182b94336b794a769","2022","Kwartal","4","801","80148","083","0","100000.00","128829.00","128829.00"
"36","Szkoła Podstawowa Nr 5","JB","000903297     ","10","02","01","1","0","Rb27s_f1fb922509a9442182b94336b794a769","2022","Kwartal","4","801","80148","097","0","7000.00","4568.00","4568.00"
"37","Szkoła Podstawowa Nr 4","JB","000903305     ","10","02","01","1","0","Rb27s_572c9113acd444a5bd8d60eb9a0c91a8","2022","Kwartal","4","801","80101","069","0","100.00","81.00","81.00"
