"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","ZA","WW"
"0","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","302","0","10280.00","9803.89","9803.89"
"1","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","401","0","674540.00","673221.42","658989.84"
"2","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","404","0","48295.00","48276.23","48276.23"
"3","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","411","0","475031.00","471238.45","435647.68"
"4","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","412","0","49145.00","47858.82","43456.56"
"5","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","417","0","12700.00","10278.20","10154.20"
"6","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","421","0","59404.00","59404.00","59404.00"
"7","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","424","0","10490.00","10489.38","10489.38"
"8","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","426","0","235000.00","231926.79","187179.20"
"9","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","427","0","23000.00","20667.29","20359.79"
"10","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","428","0","5000.00","4295.00","4295.00"
"11","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","430","0","51260.00","50622.57","50622.57"
"12","Szkoła Podstawowa Nr 7","JB","001070630     ","10","02","01","1","0","Rb28s_216eefc41e244a948edccfe86f061350","2022","Kwartal","4","801","80101","436","0","2620.00","1774.62","1774.62"
