"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","NA","DW"
"0","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb27s_5cc8283722004c55848635b253b98fe8","2023","Kwartal","2","801","80101","069","0","1500.00","72.00","72.00"
"1","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb27s_5cc8283722004c55848635b253b98fe8","2023","Kwartal","2","801","80101","075","0","35000.00","6659.81","6659.81"
"2","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb27s_5cc8283722004c55848635b253b98fe8","2023","Kwartal","2","801","80101","092","0","2000.00","1303.44","1303.44"
"3","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb27s_5cc8283722004c55848635b253b98fe8","2023","Kwartal","2","801","80148","083","0","120000.00","101872.00","101466.00"
"4","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb27s_5cc8283722004c55848635b253b98fe8","2023","Kwartal","2","801","80148","097","0","7000.00","3468.00","3468.00"
"5","SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE","JB","000903305     ","10","02","01","1","0","Rb27s_fea958574d6c454bae4dfb5fee52e0f6","2023","Kwartal","2","801","80101","069","0","50.00","62.00","62.00"
"6","SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE","JB","000903305     ","10","02","01","1","0","Rb27s_fea958574d6c454bae4dfb5fee52e0f6","2023","Kwartal","2","801","80101","075","0","1000.00","3896.67","3616.18"
"7","SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE","JB","000903305     ","10","02","01","1","0","Rb27s_fea958574d6c454bae4dfb5fee52e0f6","2023","Kwartal","2","801","80101","092","0","1500.00","2125.33","2098.16"
"8","SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE","JB","000903305     ","10","02","01","1","0","Rb27s_fea958574d6c454bae4dfb5fee52e0f6","2023","Kwartal","2","801","80101","097","0","450.00","516.00","516.00"
"9","SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE","JB","000903305     ","10","02","01","1","0","Rb27s_fea958574d6c454bae4dfb5fee52e0f6","2023","Kwartal","2","801","80148","083","0","113000.00","61901.00","62043.00"
"10","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80101","069","0","200.00","18.00","18.00"
"11","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80101","075","0","9000.00","5847.90","5847.90"
"12","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80101","092","0","5000.00","1950.15","1950.15"
"13","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80101","097","0","1500.00","680.25","680.25"
"14","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80148","083","0","230000.00","150127.00","150127.00"
"15","SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO","JB","368245067     ","10","02","01","1","0","Rb27s_7ad77ed09bdc4d9bb5819da0e20698a8","2023","Kwartal","2","801","80148","097","0","4000.00","700.00","700.00"
"16","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80101","069","0","400.00","134.00","134.00"
"17","SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE","JB","000903280     ","10","02","01","1","0","Rb27s_04a6f42dcdb34a65ab8fdc0bc4daa9db","2023","Kwartal","2","801","80101","075","0","12000.00","10312.50","8632.50"
