"","Nazwa","Typ","Regon","WK","PK","GK","GT","PT","id","Rok","TypOkresu","Okres","Dzial","Rozdzial","Paragraf","P4","PL","ZA","WW"
"0","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","302","0","11420.00","5439.95","5439.95"
"1","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","401","0","663000.00","663000.00","285814.07"
"2","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","404","0","58000.00","41125.90","41125.90"
"3","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","411","0","459320.00","459320.00","224485.67"
"4","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","412","0","62196.00","62196.00","23635.61"
"5","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","417","0","25000.00","25000.00","23034.60"
"6","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","421","0","59595.00","37416.65","36744.60"
"7","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","424","0","20362.00","1527.90","1527.90"
"8","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","426","0","161700.00","78620.68","78238.08"
"9","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","427","0","21120.00","",""
"10","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","428","0","10780.00","420.00","420.00"
"11","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","430","0","46510.00","36174.83","35325.64"
"12","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","436","0","5390.00","1127.07","1127.07"
"13","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","441","0","2150.00","",""
"14","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","444","0","187057.00","187057.00","150263.00"
"15","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","470","0","4300.00","2769.47","2769.47"
"16","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","471","0","50000.00","50000.00","15.17"
"17","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","479","0","1884207.00","1884207.00","937228.21"
"18","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80101","480","0","159800.00","138121.47","138121.47"
"19","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","411","0","20300.00","20300.00","13904.65"
"20","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","412","0","3200.00","3200.00","1203.45"
"21","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","421","0","5550.00","30.00","30.00"
"22","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","444","0","7972.00","7972.00","6737.00"
"23","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","471","0","100.00","100.00",""
"24","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","479","0","120000.00","120000.00","79546.07"
"25","SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA","JB","000903297     ","10","02","01","1","0","Rb28s_51a97e8036a643d9890bfe8bf45db98b","2023","Kwartal","2","801","80107","480","0","10200.00","4778.10","4778.10"
